slug,market,reveal_body,n,per,group
Short shorts,Female,y,334,69,60
Visible underwear,Both,y,332,69,60
Short skirt,Female,y,290,60,60
Sagging pants,Men,y,219,45,40
Sheer clothing,Female,y,201,42,40
Strapless top,Female,y,187,39,30
Spaghetti strap,Female,y,184,38,30
Halter top,Female,y,183,38,30
Low neckline,Female,y,177,37,30
Short dresses,Female,y,172,36,30
Pajamas,Both,n,161,33,30
Muscle shirt,Men,y,133,28,20
Tank top,Both,y,131,27,20
Narrow straps,Female,y,127,26,20
Leggings,Female,y,124,26,20
Tight clothing,Female,y,108,22,20
Loose clothing,Both,n,86,18,10
Crop top,Female,y,82,17,10
Backless shirt,Female,y,81,17,10
Fishnet clothing,Female,y,73,15,10
Visible bra straps,Female,y,71,15,10
Sleeveless shirt,Both,y,69,14,10
Holes above thigh,Both,y,65,13,10
Frayed clothing,Both,y,58,12,10
Bike shorts,Both,y,54,11,10
Short clothing,Female,y,50,10,10
Cutoff shorts,Female,y,49,10,10
Spandex clothing,Both,y,41,8,0
Backless dress,Female,y,40,8,0
No underwear,Both,y,32,7,0
Off shoulder shirt,Female,y,31,6,0
Undershirt,Both,y,31,6,0
Holes above knee,Both,y,26,5,0
Swimwear,Both,y,25,5,0
Cutoff pants,Both,n,24,5,0
Very long shirt,Both,n,24,5,0
Gym shorts,Both,y,24,5,0
Pants with holes,Both,y,23,5,0
Low backline,Female,y,22,5,0
Strapless dress,Female,y,22,5,0
